Price_NT,District,Ping,Rooms,type
25000,內湖區,24.91,3,無電梯公寓
28000,中正區,19.27,2,無電梯公寓
36000,大安區,16.8,2,無電梯公寓
48000,中山區,31.06,2,無電梯公寓
25000,南港區,27.49,1,無電梯公寓
25000,士林區,22.91,4,無電梯公寓
32000,松山區,26.52,3,無電梯公寓
32000,大同區,14.31,1,無電梯公寓
24800,南港區,20,2,無電梯公寓
11800,南港區,7,1,無電梯公寓
9500,信義區,6.5,1,無電梯公寓
45000,文山區,30,3,無電梯公寓
43000,信義區,41.7,1,無電梯公寓
32000,大安區,30.97,3,無電梯公寓
33000,信義區,27.41,3,無電梯公寓
33000,內湖區,28.58,3,無電梯公寓
26000,士林區,41.45,4,無電梯公寓
25000,士林區,27.64,3,無電梯公寓
35000,北投區,38.22,4,無電梯公寓
40000,北投區,34.32,3,無電梯公寓
19000,中正區,10.95,1,無電梯公寓
50000,北投區,37.71,4,無電梯公寓
34000,萬華區,26.15,3,無電梯公寓
12500,文山區,6,1,無電梯公寓
30000,南港區,32.78,3,無電梯公寓
18000,士林區,25.43,4,無電梯公寓
32000,中山區,19.66,3,無電梯公寓
22000,中正區,13.5,1,無電梯公寓
35000,中正區,32.3,4,無電梯公寓
12000,北投區,20,2,無電梯公寓
28000,北投區,28,3,無電梯公寓
98000,文山區,57.07,6,無電梯公寓
36000,中山區,34.94,3,無電梯公寓
26000,信義區,23.28,2,無電梯公寓
45000,松山區,44.49,4,無電梯公寓
25000,文山區,25.03,2,無電梯公寓
60000,大安區,41.97,3,無電梯公寓
35000,信義區,29.12,3,無電梯公寓
23000,南港區,21.03,3,無電梯公寓
32000,中正區,24.65,2,無電梯公寓
50000,大安區,40.47,4,無電梯公寓
18000,中山區,2.52,1,無電梯公寓
23000,文山區,25,4,無電梯公寓
33000,信義區,29.42,3,無電梯公寓
40000,士林區,32.29,3,無電梯公寓
30000,北投區,29.54,3,無電梯公寓
38000,信義區,32.29,3,無電梯公寓
32000,內湖區,37.5,3,無電梯公寓
60000,中正區,44.19,2,無電梯公寓
16000,大安區,20,2,無電梯公寓
21000,南港區,26.97,3,無電梯公寓
30000,內湖區,25.78,3,無電梯公寓
23000,內湖區,31.91,3,無電梯公寓
35000,士林區,33.06,3,無電梯公寓
32000,士林區,20.42,2,無電梯公寓
10000,中正區,1,1,無電梯公寓
52000,松山區,36.16,3,無電梯公寓
35000,內湖區,40.89,3,無電梯公寓
32000,文山區,37.1,3,無電梯公寓
28000,北投區,26.41,3,無電梯公寓
31000,萬華區,30.81,4,無電梯公寓
25000,南港區,17.47,2,無電梯公寓
30000,內湖區,26.06,2,無電梯公寓
45000,大安區,22.02,2,無電梯公寓
40000,信義區,26.32,3,無電梯公寓
36000,南港區,25.34,2,無電梯公寓
26000,文山區,22.91,2,無電梯公寓
30000,中正區,22.55,2,無電梯公寓
22000,萬華區,11,1,無電梯公寓
23000,萬華區,12,1,無電梯公寓
15000,萬華區,7,1,無電梯公寓
22000,萬華區,10,1,無電梯公寓
26000,士林區,29.27,1,無電梯公寓
40000,中山區,36.94,3,無電梯公寓
27000,中正區,26.08,3,無電梯公寓
39800,內湖區,32.77,3,無電梯公寓
20000,北投區,27.05,3,無電梯公寓
1500,北投區,25,3,無電梯公寓
22000,士林區,23.13,2,無電梯公寓
56000,大安區,37.14,3,無電梯公寓
52000,中正區,39.88,3,無電梯公寓
35000,大同區,32.95,3,無電梯公寓
22000,南港區,15.91,2,無電梯公寓
30000,北投區,25.18,3,無電梯公寓
53000,大同區,22.32,1,無電梯公寓
26000,南港區,33.93,3,無電梯公寓
18000,大同區,6.45,1,無電梯公寓
24000,文山區,30,3,無電梯公寓
95000,松山區,42.09,3,無電梯公寓
39800,萬華區,20.47,1,無電梯公寓
95000,中正區,45.45,1,無電梯公寓
25000,文山區,28.91,3,無電梯公寓
48000,大安區,46.31,4,無電梯公寓
9800,內湖區,7,1,無電梯公寓
25000,大同區,19.98,2,無電梯公寓
16000,萬華區,9.43,1,無電梯公寓
32000,北投區,25.89,3,無電梯公寓
30000,士林區,24.38,1,無電梯公寓
29000,內湖區,26.09,2,無電梯公寓
50000,萬華區,28.21,3,無電梯公寓
35000,大同區,35.75,3,無電梯公寓
14000,中正區,4.98,1,無電梯公寓
40000,大安區,15.4,2,無電梯公寓
33000,大安區,26.33,2,無電梯公寓
15000,萬華區,12.64,1,無電梯公寓
50000,中正區,40.78,4,無電梯公寓
20000,文山區,12.55,1,無電梯公寓
45000,南港區,24.96,2,無電梯公寓
31000,士林區,33.05,3,無電梯公寓
25888,中山區,15,1,無電梯公寓
