Price_NT,District,Ping,Rooms,type,Price_per_ping,sqm,Price_per_sqm
180000,中山區,103.12,4.0,電梯大樓,1745.5391776570984,340.91472000000005,527.9912818079547
79500,中山區,25.92,2.0,電梯大樓,3067.1296296296296,85.69152000000001,927.7464094463488
21000,大同區,13.51,1.0,電梯大樓,1554.4041450777202,44.66406,470.1766924010043
110000,信義區,19.0,1.0,電梯大樓,5789.473684210527,62.814,1751.2019613461966
79000,北投區,62.52,,電梯大樓,1263.5956493921944,206.69112,382.21284010653187
186000,松山區,90.0,,電梯大樓,2066.6666666666665,297.54,625.1260334744908
300000,中正區,116.07,,電梯大樓,2584.647195657793,383.72742,781.8049593641236
308000,大安區,102.38,,電梯大樓,3008.400078140262,338.46828,909.9818748155662
75000,信義區,65.6,,電梯大樓,1143.2926829268295,216.87359999999998,345.82355805409236
68800,大安區,42.8,,電梯大樓,1607.4766355140189,141.49679999999998,486.230077287967
79000,中山區,53.92,,電梯大樓,1465.13353115727,178.25952,443.1740868594283
72000,內湖區,33.45,4.0,電梯大樓,2152.4663677130043,110.58570000000002,651.0787561140363
70000,內湖區,45.6,,電梯大樓,1535.0877192982455,150.7536,464.3338533872491
65000,大安區,11.28,1.0,電梯大樓,5762.411347517731,37.29168,1743.016136575236
60000,北投區,52.87,,電梯大樓,1134.8590883298657,174.78822,343.2725615032867
105000,士林區,49.88,,電梯大樓,2105.0521251002406,164.90328000000002,636.7368799456262
108800,北投區,53.7,,電梯大樓,2026.070763500931,177.53220000000002,612.8465709319211
53000,松山區,22.52,,電梯大樓,2353.463587921847,74.45112,711.8764633762393
160000,士林區,79.4,,電梯大樓,2015.1133501259444,262.49640000000005,609.5321688221247
51000,松山區,34.56,,電梯大樓,1475.6944444444443,114.25536000000001,446.3685554883377
79800,士林區,37.25,,電梯大樓,2142.281879194631,123.1485,647.9981485767183
85000,南港區,58.0,,電梯大樓,1465.5172413793102,191.748,443.29015165738366
58000,松山區,46.47,,電梯大樓,1248.1170647729718,153.62982,377.5308725871058
115000,士林區,52.68,,電梯大樓,2182.9916476841304,174.16008,660.3120531409953
